Name ;Phone
AMS Chartered Accountants Inc;824510739
Arwald Diesel En Livestock Trailers;824618518
Biohost;824844905
Copia Business Administration;824952634
Gasjac  Aquajac;824960072
Studio 308;824988381
80 Strand Street;825007664
Edge Ready mix;826147924
Mangaung Site Services;826800735
Unimac;827025887
"qvkQZ-T3KLrl2roPo87OgQM""-,null,null,1,null,""https://www.google.com/maps/preview/place/Esylife+Embalenhle/@-26.5946874,29.8733609,3568a,13.1y/datau003d!4m2!3m1!1s0x1eeb1536b71bee31:0xcec86e7f53717c59";827635366
Sedge Construction;827816413
Best Clearing;827975550
Mabe-Tinyi Business Enterprise;828464304
Netshilema Attorneys Inc;828654473
Outsourced Financial Accountant Cape Town The Virtual FD (Pty) Ltd;829498449
HN Landbou;829552662
Francois Smuts Meubels;832315605
FAMU Business Professionals;832731176
CCD TRADING (Pty) Ltd;834205662
Musina Legal Advice Office;835310751
Marianne Corporate Landscaping (Orliglo);835343641
UNLIMITED CREATIVE DESIGNS;835414533
Marketing Grit;836295670
Sustainable Energy Solutions;836506699
The Tax Shop Accountants Polokwane (West);836776185
Page Storages - Self Storages;837840441
Crazy Lemon Graphics;840345500
GSP EVENTS GROUP Pty Ltd;840533252
Fifth Element Live;842424455
Contractor / Group Accommodation Klerksdorp;842578790
Vlakfontein Farm 448;844325444
Des Vader Consulting;844432323
Lamont Handyman;848805530
Astra Ad Agency;849719386
Shelf Company Warehouse;861114213
Karoo Sundowner Safari;861737378
TOPS at SPAR Madadeni;871311336
RandTangle;871355978
Service Systems;872374783
HR Cartel Pty Ltd;872654767
Case IH Schweizer Reneke;872885720
"Cottage Chardonnay at ""Constantia Cottages""";877010832
ILIOS Accounting;877017875
Roots And Raw;626581387
LTB Touch Vape;662615435
Copy Express Lansdowne;816093858
Tourism Marketing SA;847062020
Best Washlines;716803222
119Next (Pty) Ltd;795119523
SWITCH;834588085
DMS Mosselbay Structural  Civil Engineers;845707337
Feather-Light Services;658235924
Advocate Z Madala Chambers;715328776
Expansive Accounting (Pty) Ltd;718470908
Adventure Kayaking;824540112
MESMERIC SOLAR;823749636
Hare's Rest;834099123
Lagoon Life Computers;836352557
Nomads Den - Luxury Villa in Hoedspruit;630954413
Kayises Curtains and Printing;725724205
Die Bosvarkie Accommodation Campsite Pub and Restaurant Calitzdorp;814733232
RSN Ceiling Contractors;836569286
Enway Power Solutions (Pty) Ltd;836115020
Grand Parlour Pty Ltd;631876974
Schnell Business Solutions;832428400
Northern Suburbs Computers and Appliances;628381450
Be Relevant Pty Ltd;658084599
Hanglip Properties;793442829
PSC Projects Garden Route;799219900
Leafy Constantia Guest House;826580502
Intermagine;826617239
Berghie Online (Pty) Ltd - Computers Cape Town;846880162
Worms and sons;604722035
Tech Shinobi;639384826
IT Uplink (Pty) Ltd;713607108
Hells Bells Digital;720426720
KHANDWELE TRADING ENTERPRISE;720756473
RTS Plant Hire - RTS Transport;734032703
Dutch Master Builders;788855999
Pride Of Africa Hrs;814254832
THE LEGENDS;825570354
Smit Computer Services;827847652
Westcoast Properties Melkbosstrand;828921922
Arcus Accounting Services (Pty) Ltd t/a Mostert and Potgieter;833958622
Pain Breede Valley;875500644
KUHLE FARMING AND PROJECTS;646826733
Improvise Cleaning Solutions;662677023
Go Skills Cafe;723713621
Billion House Consulting;733471625
Solar Spot;780129105
Stellenbosch Plumbers;826791046
Kardoesie Heidelberg;833726282
Treyntjes Rivier Cottages;612020419
Brand-It Harties;662971904
In the Company of Horses;663479490
Mahuntsu Retail Company;710708008
Cape Business Bureau;723015295
The Transporter Cabs Plett (Pty)Ltd;762649742
White Eagle Tours;795578384
Blu Inc.;822334530
PHS Construction  Building Contractors;825058568
Sixfoot5 Digital;828537193
Archer Tax and Financial Services;846035792
Spruce Up Girls - Gansbaai;604210217
DenDonix;604638424
Van Huyssteen and Company Inc.;605055182
Higher Times;605592847
MBOMBELA SOLUTIONS - COMPUTER  BUSINESS SKILLS TRAINING PROVIDER;605853768
Print Express;608481691
Melmoth Chainsaw Lawnmower and BrushCutter Repairs;609040700
Logabo;611150706
RR Printing;614189695
FDNFZ BUSINESSES PTY LTD TAKEAWAYS;614256229
Diverse Advisory Services;615032421
Gigazone Global Dynamics (Pty) Ltd;615599131
Summer Friends marketing and events;615890298
OdoRescue;617323106
Bismillah cash and carry;617463844
Sophi Strategies Inc;618076619
Everts Corp;624410055
Tech Zone Electronics;624883288
Electrical light on;627428498
CBY WASTE SOLUTIONS (PTY ) LTD .;630076540
Yeyeyeah Trading;630731111
KP Photographia;631253451
Tiqwa Business Solutions;632244459
Nyce Life Entertainment;632602392
CODE BLANK IT (PTY) LTD;633907453
Both Digital Transformation;640475618
ZWIDA MINERAL RESOURCES (Pty) Ltd;641021045
RCP Ceilings and Partitions;643062031
RIAHSAH Co;645538484
Katlego Crossing Shopping Centre;646210139
Cass Supplies(Pty)Ltd T/A Cass Supplies;646539532
LEZMIN ACCOUNTING SERVICES;647067332
H2O / BWT Rustenburg;647710007
The Essential Hub - Online Shopping;648986456
Anre Events (Pty) Ltd;649070155
Lestify (Pty) Ltd;649078940
Green Create Worcester Waste-to-value Plant;649521574
Money graphics;649912516
Stir Giant;651665164
Urembo28;655581258
KBC Services PTY (LTD);656438106
In The Lupe;656546467
HPL Chartered Accountants;658010330
Bagged Laundry Company;658910876
Nalosi, your Premium Venture Associates;659184747
durban steelworks;659213228
Netmetech;659222747
Khwebo Enterprise, Supplier  Community Development;659598648
Tigane Kwekery;662035996
Thabazimbi Properties / Eiendomme;662071883
PostNet Swellendam;662163095
AquaCatz Properties;662532001
WomHub;662769281
Bondi Mix;663484325
Joetsie;664798101
Manamela M.M Attorneys;670089976
MASHOTHE HOLDINGS;670588228
Cape Generators A1 (Pty)Ltd.;670608400
Dream House Civil Engineering;670808885
Faith hygiene solutions;670926526
Ekse Player;671947841
Clearfusion Holdings;672382434
Royal Staffing and Business Institute;672928561
Hoedspruit Coffee Company;674684536
ProFaster;676171261
Max and Mic Services;676360725
iekie@sons spairs;677962309
Kopano Motholi Inc;680532768
Tempting Tunez Records;680593403
Atheldom Corporates;680667713
BINNY I.T Solutions;681482193
Cape Modern Homes;682346415
Juizze Designz Graphic Studio;684483473
Futureplanner.co.za;693314862
DAYTAY;697043707
CBEC Consulting (Management and Technical);710197775
JAX ENTERTAINMENT RECORDS PTY (LTD);710412778
Zoda-Se (Pty) Ltd;710441778
MT Mokgalabone Attorneys;710680701
NKOMAZI TECHNOLOGY Engineering Company (NTEC);712563699
Boutique Events;713331111
IBS -Innovative Business Solutions road 752;714479927
Stylish flow hair design;714768759
Helderberg Thatchers;715190727
Villa Flora;715230727
GIFTCLA INVESTMENTS (PTY) LTD;715320401
Procreate Media House;715655273
Black Digital Inc.;716343230
UZWOTHE GENERAL ENTERPRISE (PTY)LTD;716461183
MB Crating Services;717504502
LEBOHANG SOCIETY AND FINANCIAL;718359206
"4nEWZ_fwM6iYseMP1fXv0QU""-,null,null,1,null,""https://www.google.com/maps/preview/place/Ndevu+Holdings/@-32.1077195,26.46523,3380a,13.1y/datau003d!4m2!3m1!1s0x1dcc51a7edd64451:0x24b5b3d5f1b96036";718680963
"re0WZ6aGGe-z4-EP-emwuQo""-,null,null,1,null,""https://www.google.com/maps/preview/place/Ndevu+Holdings/@-32.1077195,26.46523,3380a,13.1y/datau003d!4m2!3m1!1s0x1dcc51a7edd64451:0x24b5b3d5f1b96036";718680963
"i64XZ5yiHvWNseMPhZ-EgQw""-,null,null,1,null,""https://www.google.com/maps/preview/place/Ndevu+Holdings/@-32.1077195,26.46523,3380a,13.1y/datau003d!4m2!3m1!1s0x1dcc51a7edd64451:0x24b5b3d5f1b96036";718680963
Express Marketing;718897378
MBA Business Blueprints;718962944
National Credit Bureau Removal(pty) LTD;719915409
FAB Company;720309750
Davey Engineering;721515530
Business Marketing  Networking;721899307
Get Motives;722170048
Ratec Services (Pty) Ltd;722170221
Koreyeng farming;722175294
CHA Construction CC;722621005
Company Planner (Pty) Ltd.;722928316
